,pChEMBL,Canomicalsmiles
0,10.0,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCNCC1
1,9.958607314841776,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCC(N2CCN(C)CC2)CC1
2,9.657577319177792,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C(C)C)CC1
3,9.585026652029182,CCCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C)CC1
4,9.585026652029182,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCNCC1
5,9.508638306165729,C#Cc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C)CC1
6,9.494850021680094,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCN(CCO)CC1
7,9.309803919971486,COc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2c(F)c1C1CCN(C)CC1
8,9.292429823902063,COc1cc(N2CCN(C)CC2)c2cc1Nc1ncc(Cl)c(n1)Nc1cc(ccc1N(C)S(C)(=O)=O)CC2
9,9.2839966563652,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCN(C)CC1
10,9.207608310501746,COc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2c(F)c1C1CCN(CCO)CC1
11,9.173925197299171,C#Cc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C3CCC3)c2cc1N1CCN(C)CC1
12,9.154901959985745,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCC(N2CCOCC2)CC1
13,9.113509274827518,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCN(C(C)C)CC1
14,9.10790539730952,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCN(C2CCOCC2)CC1
15,9.102372908709558,CCCOc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C)CC1
16,9.0,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N4CCOCC4)CC3)cc2OC)ncc1Cl
17,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)cc2OC)ncc1Cl
18,9.0,COc1cc(N2CCC(NC(C)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC2CCC2)n1
19,9.0,CCC(C)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCOCC3)cc2OC)ncc1Cl
20,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N4CCCCC4)CC3)cc2OC)ncc1Cl
21,9.0,COc1cc(N2CCCC(C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
22,9.0,CNC(=O)c1cc(N2CCCC2)ccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
23,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C(=O)CC)CC3)cc2OC)ncc1Cl
24,9.0,COc1cc(N2CCN3CCOC[C@H]3C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
25,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(C(=O)N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl
26,9.0,CCC(CC)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCOCC3)cc2OC)ncc1Cl
27,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc3c2ccn3CCCN2CCOCC2)ncc1Cl
28,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC[C@@H](C(N)=O)C3)cc2OC)ncc1Cl
29,9.0,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC2CCC2)n1
30,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(NCCN3CCOCC3)cc2OC)ncc1Cl
31,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OCCCN3CCOCC3)ccc2OC)ncc1Br
32,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(C(N)=O)CC3)cc2OC)ncc1Br
33,9.0,CCCS(=O)(=O)c1cc(N2CCN(C)CC2)ccc1Nc1nc(Nc2ccc(F)cc2OC)ncc1Cl
34,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC(C(N)=O)C3)cc2OC)ncc1Cl
35,9.0,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C2CC2)n1
36,9.0,CNC(=O)c1cc(F)ccc1Nc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl
37,9.0,COc1c(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)NC(C)C)n2)ccc(OC2CCN(C)CC2)c1F
38,9.0,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC[C@@H](C(N)=O)C3)cc2OC)ncc1Cl
39,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCCN3CCOCC3)cc2OC)ncc1Br
40,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(C(=O)NC)CC3)cc2OC)ncc1Cl
41,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCCN3CCN(C)CC3)cc2OC)ncc1Br
42,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc3c2ccn3CCCN2CCOCC2)ncc1Br
43,9.0,COc1cc(OCCN2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
44,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCCC(C(N)=O)C3)ccc2OC)ncc1Cl
45,9.0,COc1cc(N2CCCC(C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C2CC2)n1
46,9.0,COc1cc(N2CCC[C@@H](C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C2CC2)n1
47,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC[C@H](C(N)=O)C3)cc2OC)ncc1Cl
48,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc3c2ccn3CCCN2CCN(C)CC2)ncc1Cl
49,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(N4CCCCC4)CC3)ccc2OC)ncc1Cl
50,9.0,CCC(CC)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCN(C)CC3)cc2OC)ncc1Cl
51,9.0,CNC(=O)c1cc(N2CCCC2)ccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2OC)ncc1Cl
52,9.0,COc1ccc(Nc2ncc(Cl)c(Nc3ccc(N4CCN5CCOC[C@H]5C4)c4c3C(=O)N(C)C4)n2)c(OC)c1
53,9.0,COc1ccccc1Nc1ncc(Cl)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c3c2C(=O)N(C)CC3)n1
54,9.0,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCNCC3)c3c2C(=O)N(C)CC3)n1
55,9.0,COc1cc(N2CCN3CCOC[C@H]3C2)ccc1Nc1ncc(Cl)c(Nc2cccc3c2C(=O)N(C)C3)n1
56,9.0,COc1ccc(Nc2ncc3ccn(-c4cccc(Cl)c4)c3n2)c(C)c1
57,9.0,Cc1ccc(-c2ccncc2)cc1Nc1ncc2ccn(-c3ccccn3)c2n1
58,9.0,CNC1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)c(OC)c2)C1
59,9.0,CCCN(CCO)c1ccc(Nc2ncc(Br)c(Nc3ccccc3S(=O)(=O)NC)n2)c(C)c1
60,9.0,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(=O)NC(C)C)n1
61,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C)CC3)cc2OC)ncc1Cl
62,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
63,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C)CC3)cc2OC)ncc1Cl
64,9.0,CCN1CCC(Oc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)NC)n3)c(OC)c2)C1
65,9.0,CNC1CCN(c2ccc(OC)c(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)NC)n3)c2)C1
66,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(O)C3)cc2OC)ncc1Cl
67,9.0,COc1cc(NC(C)(C)CO)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
68,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCNCC3)cc2OC)ncc1Br
69,9.0,COc1ccc(N2CCOCC2)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
70,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2cc(N3CCOCC3)ccc2OC)ncc1Br
71,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N(C)C)C3)cc2OC)ncc1Cl
72,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCOCC3)ccc2C)ncc1Br
73,9.0,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
74,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(NC)C3)cc2OC)ncc1Cl
75,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCSCC3)cc2OC)ncc1Br
76,9.0,COc1ccc(Nc2nc(Cl)ncc2Cl)c2c1CCN(C)C2=O
77,9.0,CNC(=O)c1cc(N2CCOCC2)ccc1Nc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl
78,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OCCN3CCN(C(C)=O)CC3)ccc2OC)ncc1Cl
79,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(N4CCN(C)CC4)CC3)ccc2OC)ncc1Cl
80,9.0,COc1cc(OCCN2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
81,9.0,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)cc2OC)ncc1Cl
82,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(N4CCN(C)CC4)CC3)ccc2OC)ncc1Cl
83,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(CC(=O)NC(C)C)CC3)cc2OC)ncc1Cl
84,9.0,CNC(=O)c1cc(N2CCN(C)CC2)ccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
85,9.0,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc3c2C(=O)N(C)C3)n1
86,9.0,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C2CC2)n1
87,9.0,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
88,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC[C@H](C(N)=O)C3)cc2OC)ncc1Cl
89,9.0,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)N2CCOCC2)n1
90,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCCCC3)ccc2C)ncc1Br
91,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C)CC3)ccc2OC)ncc1Cl
92,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(N(C)C)C3)ccc2OC)ncc1Cl
93,9.0,CCNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2OC)ncc1Cl
94,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC3CCN(C)CC3)ccc2OC)ncc1Br
95,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(N3CCOCC3)cc2OC)ncc1Cl
96,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N(C)C)C3)cc2OC)ncc1Cl
97,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCNCC3)cc2OC)ncc1Br
98,9.0,COc1cc(NCC(C)(C)CO)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
99,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(C(=O)N3CCOCC3)ccc2C)ncc1Br
