,ID,Canomicalsmiles,pChEMBL
0,635,COc1cccc(CNC(=O)c2csc(CNC(=O)c3cccnc3Oc3ccc(Cl)cc3)n2)c1OC,0
1,1319,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NCC(C)(C)C)n1,0
2,651,Cc1onc(-c2ccccc2)c1CNC(=O)c1csc(CNC(=O)COc2ccc(OC(F)(F)F)cc2)n1,0
3,542,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NCCc2ccccc2F)co1,0
4,1419,COc1ccc(Nc2ccnc(Nc3ccc(OC)c(OCCN4CCCC4)c3)n2)c(S(N)(=O)=O)c1,0
5,128,CNC(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C)CC3)ccc2OC)ncc1Cl,1
6,569,CCC(C)CNC(=O)c1csc(CNC(=O)COc2ccc(OC(F)(F)F)cc2)n1,0
7,199,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCOCC3)ccc2OC)ncc1Cl,1
8,1081,Cc1ccc(N2CCOCC2)cc1Nc1ncc2ccn(-c3ccccn3)c2n1,0
9,408,CNC(=O)c1ccc2cc1Nc1nc(ncc1Cl)Nc1ccc(N3CCN(C)CC3)c(c1)CC2,1
10,166,COc1cc(N2CCC[C@@H](C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
11,1077,c1ccc(-n2ccc3cnc(Nc4ccc5c(c4)NCC5)nc32)nc1,0
12,226,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2OC)ncc1Cl,1
13,230,CNC(=O)c1cc(F)c(F)cc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,1
14,945,CC(C)NC(=O)[C@]1(O)CC[C@@H](n2c(=NC(=O)c3ccc(F)cc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,0
15,647,CC(C)(C)OC(=O)NCCCCCNC(=O)c1ncsc1CNC(=O)COc1ccc(OC(F)(F)F)cc1,0
16,466,CC(C)(O)C1CCN(Cc2ccc3[nH]/c(=N\C(=O)c4ccc(F)cc4)n([C@H]4CC[C@]5(CC4)NC(=O)NC5=O)c3c2)CC1,1
